gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn,InternetService_index,Contract_index,PaymentMethod_index,InternetService_encoded,Contract_encoded,PaymentMethod_encoded,features_unscaled,features
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[3.0,25.1,79.8]","[0.041666666666666664,0.06815920398009952,0.007039003000230787]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[1.0,24.4,24.4]","[0.013888888888888888,0.061194029850746255,0.0006462035541195475]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[2.0,24.3,38.45]","[0.027777777777777776,0.060199004975124384,0.0022674821140087702]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[18.0,25.15,476.8]","[0.25,0.06865671641791044,0.05285021924763444]"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[3.0,24.75,66.95]","[0.041666666666666664,0.06467661691542288,0.00555619663051004]"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[9.0,24.95,190.25]","[0.125,0.06666666666666665,0.019784214170320794]"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[17.0,25.65,440.2]","[0.2361111111111111,0.07363184079601988,0.04862681744749596]"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,3.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[],[])","[2.0,24.9,49.7]","[0.027777777777777776,0.0661691542288557,0.003565658896838219]"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,3.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[],[])","[8.0,25.25,186.3]","[0.1111111111111111,0.06965174129353234,0.0193284098776829]"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,2.0,1.0,"(2,[1],[1.0])","(2,[],[])","(3,[1],[1.0])","[29.0,24.85,788.05]","[0.40277777777777773,0.06567164179104479,0.08876644357258251]"
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[1.0,24.25,24.25]","[0.013888888888888888,0.05970149253731343,0.0006288945303484883]"
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[2.0,25.05,56.35]","[0.027777777777777776,0.06766169154228856,0.004333025617355181]"
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[1.0,35.45,35.45]","[0.013888888888888888,0.1711442786069652,0.001921301638587584]"
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[1.0,35.55,35.55]","[0.013888888888888888,0.17213930348258702,0.0019328409877682896]"
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[10.0,33.9,298.45]","[0.1388888888888889,0.15572139303482585,0.03226978998384491]"
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[0],[1.0])","[4.0,44.55,174.3]","[0.05555555555555555,0.2616915422885572,0.017943687975998154]"
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[1.0,45.3,45.3]","[0.013888888888888888,0.2691542288557214,0.0030579275328871448]"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,"(2,[1],[1.0])","(2,[0],[1.0])","(3,[1],[1.0])","[1.0,29.15,29.15]","[0.013888888888888888,0.10845771144278606,0.0011943226402030924]"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2.0,3.0,"(2,[1],[1.0])","(2,[],[])","(3,[],[])","[66.0,29.45,1983.15]","[0.9166666666666666,0.11144278606965173,0.2266732056312024]"
